tree,genotype,block,year,coppice_year,coppice_number,height,d20,d50,dbh,cop_id
BESC-897-1,BESC-897,1,2019,0,0,NA,NA,NA,27.700000000000003,0
GW-11026-1,GW-11026,1,2010,0,0,262.128,NA,NA,NA,0
GW-11026-1,GW-11026,1,2011,0,0,515.112,11.3,8.3,NA,0
GW-11026-1,GW-11026,1,2012,0,0,720,NA,NA,8.4,0
GW-11026-1,GW-11026,1,2013,0,0,1000,NA,NA,12.8,0
GW-11026-1,GW-11026,1,2014,0,0,NA,NA,NA,13.9,0
GW-11026-1,GW-11026,1,2015,0,0,NA,NA,NA,15.4,0
GW-11026-1,GW-11026,1,2016,0,0,NA,NA,NA,16.6,0
GW-11026-1,GW-11026,1,2018,0,0,NA,NA,NA,17,0
GW-11026-1,GW-11026,1,2019,0,0,NA,NA,NA,17.400000000000002,0
GW-9768-1,GW-9768,1,2012,0,0,910,NA,NA,9.4,0
GW-9768-1,GW-9768,1,2013,0,0,1370,NA,NA,12.6,0
GW-9768-1,GW-9768,1,2014,0,0,NA,NA,NA,15.6,0
GW-9768-1,GW-9768,1,2015,0,0,NA,NA,NA,16.400000000000002,0
GW-9768-1,GW-9768,1,2016,0,0,NA,NA,NA,19.4,0
GW-9768-1,GW-9768,1,2018,0,0,NA,NA,NA,20.6,0
GW-9768-1,GW-9768,1,2019,0,0,NA,NA,NA,21.8,0
GW-9776-1,GW-9776,1,2010,0,0,275.84400000000005,NA,NA,NA,0
GW-9776-1,GW-9776,1,2011,0,0,528.828,8.3,7.5,NA,0
GW-9776-1,GW-9776,1,2012,0,0,850,NA,NA,8.4,0
GW-9776-1,GW-9776,1,2013,0,0,1160,NA,NA,12.2,0
GW-9776-1,GW-9776,1,2014,0,0,NA,NA,NA,15.5,0
GW-9776-1,GW-9776,1,2015,0,0,NA,NA,NA,17.6,0
GW-9776-1,GW-9776,1,2016,0,0,NA,NA,NA,20.9,0
GW-9776-1,GW-9776,1,2018,0,0,NA,NA,NA,23.3,0
GW-9776-1,GW-9776,1,2019,0,0,NA,NA,NA,24.3,0
GW-9854-1,GW-9854,1,2010,0,0,152.4,NA,NA,NA,0
GW-9854-1,GW-9854,1,2011,0,0,222.504,3.6,3,NA,0
GW-9854-1,GW-9854,1,2012,0,0,520,NA,NA,3.2,0
GW-9854-1,GW-9854,1,2013,0,0,850,NA,NA,6.2,0
GW-9854-1,GW-9854,1,2014,0,0,NA,NA,NA,8.9,0
GW-9854-1,GW-9854,1,2015,0,0,NA,NA,NA,11,0
GW-9854-1,GW-9854,1,2016,0,0,NA,NA,NA,12.9,0
GW-9854-1,GW-9854,1,2018,0,0,NA,NA,NA,13.9,0
GW-9854-1,GW-9854,1,2019,0,0,NA,NA,NA,14.5,0
SLMC-28-2-1,SLMC-28-2,1,2010,0,0,228.6,NA,NA,NA,0
